date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:42	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Jan%202021%2001:58:42%20GMT	https://citizentrustonlinebk.com/images/slider/mobile_slider.png	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/images/slider/mobile_slider.1d.delayed	(from https://citizentrustonlinebk.com/)
17:58:43	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Jan%202021%2001:58:43%20GMT	https://citizentrustonlinebk.com/images/security/security__info-bg.png	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/images/security/security__info-bg.1e.delayed	(from https://citizentrustonlinebk.com/)
17:58:44	2211/2211	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/images/security/regulated_broker.png	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/images/security/regulated_broker.png	(from https://citizentrustonlinebk.com/)
17:58:46	1687/1687	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/images/security/saccf.png	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/images/security/saccf.png	(from https://citizentrustonlinebk.com/)
17:58:47	1586/1586	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/images/security/nbp.png	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/images/security/nbp.png	(from https://citizentrustonlinebk.com/)
17:58:48	1585/1585	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/images/security/mfc.png	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/images/security/mfc.png	(from https://citizentrustonlinebk.com/)
17:58:50	1755/1755	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/images/security/ffc.png	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/images/security/ffc.png	(from https://citizentrustonlinebk.com/)
17:58:51	12138/12138	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/images/slider/invest.jpg	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/images/slider/invest.jpg	(from https://citizentrustonlinebk.com/)
17:58:52	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Jan%202021%2001:58:53%20GMT	https://citizentrustonlinebk.com/main/https://www.tradingview.com/	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/https_/www.tradingview.com/index.html	(from https://citizentrustonlinebk.com/)
17:58:53	55407/55407	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Oct%202019%2006:43:48%20GMT	https://citizentrustonlinebk.com/main/images/about/image-content-1.jpg	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/main/images/about/image-content-1.jpg	(from https://citizentrustonlinebk.com/)
